StationName,CircuitID,DirectionNum
Metro Center,203,1
Farragut N,190,1
Dupont Circle,179,1
Woodley Park-Zoo/Adams Morgan,363,1
Cleveland Park,154,1
Van Ness-UDC,142,1
Tenleytown-AU,336,1
Friendship Heights,126,1
Bethesda,109,1
Medical Center,95,1
Grosvenor-Strathmore,80,1
North Bethesda,62,1
Twinbrook,53,1
Rockville,32,1
Shady Grove,7,1
Gallery Pl-Chinatown,467,1
Judiciary Square,466,1
Union Station,485,1
Rhode Island Ave-Brentwood,513,1
Brookland-CUA,527,1
Fort Totten,548,1
Takoma,571,1
Silver Spring,591,1
Forest Glen,611,1
Wheaton,629,1
Glenmont,625,1
NoMa-Gallaudet U,700,1
Metro Center,1135,1
Metro Center,1135,1
Metro Center,1135,1
McPherson Square,1126,1
McPherson Square,1126,1
McPherson Square,1126,1
Farragut West,1117,1
Farragut West,1117,1
Farragut West,1117,1
Foggy Bottom-GWU,1105,1
Foggy Bottom-GWU,1105,1
Foggy Bottom-GWU,1105,1
Rosslyn,1092,1
Rosslyn,1092,1
Rosslyn,1092,1
Arlington Cemetery,1070,1
Pentagon,1052,1
Pentagon,1052,1
Pentagon City,1036,1
Pentagon City,1036,1
Crystal City,1024,1
Crystal City,1024,1
Ronald Reagan Washington National Airport,1010,1
Ronald Reagan Washington National Airport,1010,1
Potomac Yard,3493,1
Potomac Yard,3493,1
Braddock Road,976,1
Braddock Road,976,1
,,
King St-Old Town,969,1
King St-Old Town,969,1
Eisenhower Avenue,955,1
Huntington,944,1
Federal Triangle,1384,1
Federal Triangle,1384,1
Federal Triangle,1384,1
Smithsonian,1393,1
Smithsonian,1393,1
Smithsonian,1393,1
L'Enfant Plaza,1400,1
L'Enfant Plaza,1400,1
L'Enfant Plaza,1400,1
Federal Center SW,1406,1
Federal Center SW,1406,1
Federal Center SW,1406,1
Capitol South,1418,1
Capitol South,1418,1
Capitol South,1418,1
Eastern Market,1424,1
Eastern Market,1424,1
Eastern Market,1424,1
Potomac Ave,1436,1
Potomac Ave,1436,1
Potomac Ave,1436,1
Stadium-Armory,1443,1
Stadium-Armory,1443,1
Stadium-Armory,1443,1
Minnesota Ave,1475,1
Deanwood,1487,1
Cheverly,1500,1
Landover,1522,1
New Carrollton,1542,1
Mt Vernon Sq 7th St-Convention Center,1753,1
Mt Vernon Sq 7th St-Convention Center,1753,1
Shaw-Howard U,1764,1
Shaw-Howard U,1764,1
U Street/African-Amer Civil War Memorial/Cardozo,1773,1
Columbia Heights,1782,1
Georgia Ave-Petworth,1796,1
Fort Totten,1809,1
West Hyattsville,1833,1
Hyattsville Crossing,1840,1
College Park-U of Md,1871,1
Greenbelt,1894,1
Gallery Pl-Chinatown,2246,1
Gallery Pl-Chinatown,2246,1
Archives-Navy Memorial-Penn Quarter,2241,1
Archives-Navy Memorial-Penn Quarter,2241,1
L'Enfant Plaza,2231,1
L'Enfant Plaza,2231,1
Waterfront,2219,1
